"N","max(u)"
5151,298.15
1,312.21
1,316.67
1,319.59
1,321.97
1,324.07
1,325.99
1,327.78
1,329.44
1,330.96
1,332.34
1,333.61
1,334.78
1,335.86
1,336.83
1,337.71
1,338.5
1,339.22
1,339.88
1,340.48
1,341.05
1,341.57
1,342.06
1,342.53
1,342.97
1,343.4
1,343.81
1,344.2
1,344.58
1,344.95
1,345.31
1,345.66
1,346.01
1,346.34
1,346.67
1,347
1,347.32
1,347.63
1,347.94
1,348.25
1,348.55
1,348.84
1,349.13
1,349.42
1,349.69
1,349.96
1,350.23
1,350.49
1,350.74
1,350.99
1,351.23
1,351.47
1,351.71
1,351.94
1,352.18
1,352.41
1,352.64
1,352.87
1,353.1
1,353.34
1,353.57
1,353.81
1,354.05
1,354.3
1,354.56
1,354.82
1,355.09
1,355.38
1,355.67
1,355.98
1,356.31
1,356.66
1,357.03
1,357.43
1,357.87
1,358.35
1,358.89
1,359.52
1,360.26
1,361.18
1,362.32
1,363.66
1,365.12
1,366.64
1,368.19
1,369.76
1,371.34
1,372.92
1,374.51
1,376.1
1,377.69
1,379.29
1,380.89
1,382.48
1,384.08
1,385.68
1,387.28
1,388.88
1,390.48
1,392.07
1,393.67
1,395.27
1,396.87
1,398.47
1,400.07
1,401.67
1,403.27
1,404.87
1,406.46
1,408.06
1,409.66
1,411.26
1,412.86
1,414.46
1,416.06
1,417.66
1,419.26
1,420.85
1,422.45
1,424.05
1,425.65
1,427.25
1,428.85
1,430.45
1,432.05
1,433.65
1,435.25
1,436.84
1,438.44
1,440.04
1,441.64
1,443.24
1,444.84
1,446.44
1,448.04
1,449.64
1,451.24
1,452.83
1,454.43
1,456.03
1,457.63
1,459.23
1,460.83
1,462.43
1,464.03
1,465.63
1,467.23
1,468.82
1,470.42
1,472.02
1,473.62
1,475.22
1,476.82
1,478.42
1,480.02
1,481.62
1,483.22
1,484.81
1,486.41
1,488.01
1,489.61
1,491.21
1,492.81
1,494.41
1,496.01
1,497.61
1,499.21
1,500.8
1,502.4
1,504
1,505.6
1,507.2
1,508.8
1,510.4
1,512
1,513.6
1,515.19
1,516.79
1,518.39
1,519.99
1,521.59
1,523.19
1,524.79
1,526.39
1,527.99
1,529.59
1,531.18
1,532.78
1,534.38
1,535.98
1,537.58
1,539.18
1,540.78
1,542.38
1,543.98
1,545.58
1,547.17
1,548.77
1,550.37
1,551.97
1,553.57
1,555.17
1,556.77
1,558.37
1,559.97
1,561.57
1,563.16
1,564.76
1,566.36
1,567.96
1,569.56
1,571.16
1,572.76
1,574.36
1,575.96
1,577.56
1,579.15
1,580.75
1,582.35
1,583.95
1,585.55
1,587.15
1,588.75
1,590.35
1,591.95
1,593.55
1,595.14
1,596.74
1,598.34
1,599.94
1,601.54
1,603.14
1,604.74
1,606.34
1,607.94
1,609.53
1,611.13
1,612.73
1,614.33
1,615.93
1,617.53
