max(u),Time
298.15,0
318.667,60
326.359,120
330.677,180
332.938,240
335.005,300
336.852,360
338.501,420
340.077,480
341.672,540
343.267,600
344.838,660
346.387,720
347.913,780
349.394,840
350.808,900
352.152,960
353.434,1020
354.656,1080
355.824,1140
356.943,1200
358.022,1260
359.07,1320
360.099,1380
361.142,1440
362.235,1500
363.357,1560
364.486,1620
365.6,1680
366.695,1740
367.772,1800
368.832,1860
369.88,1920
370.924,1980
371.975,2040
373.039,2100
374.115,2160
375.199,2220
376.296,2280
377.441,2340
378.694,2400
380.125,2460
381.81,2520
383.757,2580
385.927,2640
388.273,2700
390.765,2760
393.398,2820
396.17,2880
399.061,2940
402.045,3000
405.098,3060
408.197,3120
411.328,3180
414.48,3240
417.647,3300
420.822,3360
424.005,3420
427.191,3480
430.381,3540
433.572,3600
436.766,3660
439.96,3720
443.155,3780
446.351,3840
449.547,3900
452.744,3960
455.941,4020
459.138,4080
462.335,4140
465.532,4200
468.73,4260
471.928,4320
475.125,4380
478.323,4440
481.521,4500
484.719,4560
487.916,4620
491.114,4680
494.312,4740
497.51,4800
500.708,4860
503.906,4920
507.104,4980
510.302,5040
513.5,5100
516.698,5160
519.896,5220
523.094,5280
526.292,5340
529.49,5400
532.687,5460
535.885,5520
539.083,5580
542.281,5640
545.479,5700
548.677,5760
551.875,5820
555.073,5880
558.271,5940
561.469,6000
564.667,6060
567.865,6120
571.063,6180
574.261,6240
577.459,6300
580.657,6360
583.855,6420
587.053,6480
590.251,6540
593.449,6600
596.647,6660
599.845,6720
603.043,6780
606.241,6840
609.439,6900
612.637,6960
615.835,7020
619.033,7080
622.231,7140
625.428,7200
